issue_key,project,issue_type,title,description,actual_story_points
APSTUD-101,Appcelerator Studio,Story,"Add dark mode toggle to settings panel","Users have requested a dark mode option. Add a toggle in the existing settings panel that persists the preference in local storage and applies a dark CSS theme across all views.",3
APSTUD-204,Appcelerator Studio,Bug,"Fix crash when opening empty project folder","When a user opens a project directory containing no source files, the IDE throws a NullPointerException and crashes. Reproduce by File > Open on an empty folder. Need to handle the empty case gracefully and show an info message.",2
APSTUD-318,Appcelerator Studio,Task,"Upgrade build system from Ant to Gradle","Migrate the existing Ant-based build configuration to Gradle. This includes converting all build.xml files, updating CI pipelines, ensuring all plugins still resolve, and updating developer documentation.",13
MULE-512,Mule ESB,Story,"Implement OAuth2 client credentials grant","Add support for OAuth2 client credentials flow in the HTTP connector. Should include token caching, automatic refresh on 401, and configurable token endpoint. Must work with existing security manager abstraction.",8
MULE-630,Mule ESB,Bug,"Memory leak in JMS listener under high load","Long-running JMS listeners accumulate memory over time when message throughput exceeds 1000/sec. Heap dump shows retained MessageContext instances. Investigate and fix the reference retention.",5
MULE-745,Mule ESB,Story,"Add CSV transformer with schema inference","Create a new transformer component that reads CSV input and converts it to a structured payload. Should auto-infer column types (string, int, date) from the first N rows, with configurable overrides.",5
TIMOB-1102,Titanium Mobile,Bug,"Fix iOS keyboard not dismissing on scroll","On iOS 14+, the keyboard remains visible when the user scrolls a TextField out of view. Should auto-dismiss matching native UIScrollView behaviour.",3
TIMOB-1203,Titanium Mobile,Story,"Add biometric authentication API","Expose a cross-platform Ti.Biometric module supporting Face ID, Touch ID, and Android fingerprint. Include availability checks, prompt customisation, and proper error codes for cancellation vs failure.",8
TIMOB-1340,Titanium Mobile,Epic,"Rewrite navigation stack for tab-based apps","The current tab navigation has multiple long-standing bugs around state restoration, deep linking, and back-button handling. Plan and execute a full rewrite that addresses all known issues and matches native iOS/Android navigation patterns.",21
XD-401,Spring XD,Task,"Update logging to use SLF4J consistently","Several modules still use java.util.logging or commons-logging directly. Standardise on SLF4J + Logback across the codebase and remove the unused logging dependencies.",2
XD-455,Spring XD,Story,"Add Kafka source module with consumer group support","Implement a new source module that reads from Kafka topics. Must support consumer group assignment, configurable offset management (earliest/latest), and graceful shutdown that commits offsets.",8
XD-512,Spring XD,Bug,"Stream deployment hangs when container restarts mid-deploy","If a container node restarts while a stream is being deployed, the deployment status stays at PENDING indefinitely. Need timeout + retry logic and proper status transition to FAILED.",5
DM-88,Data Management,Story,"Export dashboard to PDF","Add an Export button on the dashboard view that generates a PDF snapshot of the current charts and tables. Should respect active filters and include a header with the export timestamp.",3
DM-142,Data Management,Bug,"Date filter off-by-one in UTC vs local time","Filtering by date range returns records one day off when the user's timezone is west of UTC. Investigate the boundary calculation in the query builder and align on UTC throughout.",2
DM-201,Data Management,Story,"Real-time collaborative editing for queries","Enable multiple users to edit the same saved query simultaneously with live cursor positions, operational transform conflict resolution, presence indicators, and a comment thread per query.",21
